Name,Team,matches_played,goals_scored,yellow_cards,red_cards,points
Nicolò Barella,Inter Milan,11,3,2,0,2
Henrikh Mkhitaryan,Inter Milan,12,2,2,0,2
Denzel Dumfries,Inter Milan,11,1,0,0,0
Hakan Calhanoglu,Inter Milan,11,1,1,0,1
Robin Gosens,Inter Milan,10,1,1,0,1
Andre Onana,Inter Milan,12,0,1,0,1
Alessandro Bastoni,Inter Milan,11,0,2,0,2
Francesco Acerbi,Inter Milan,11,0,1,0,1
Matteo Darmian,Inter Milan,10,0,1,0,1
Federico Dimarco,Inter Milan,10,0,2,0,2
Milan Skriniar,Inter Milan,8,0,0,0,0
Marcelo Brozovic,Inter Milan,8,0,1,0,1
Stefan de Vrij,Inter Milan,7,0,1,0,1
Roberto Gagliardini,Inter Milan,6,0,1,0,1
Danilo D'Ambrosio,Inter Milan,5,0,0,0,0
Kristjan Asllani,Inter Milan,5,0,0,0,0
Raoul Bellanova,Inter Milan,2,0,0,0,0
Valentin Carboni,Inter Milan,1,0,1,0,1
Nikolaos Botis,Inter Milan,0,0,0,0,0
Alessandro Fontanarosa,Inter Milan,0,0,0,0,0
