Name,matches_played,yellow_cards,red_cards,points
Nicolò Barella,11,2,0,2
Henrikh Mkhitaryan,12,2,0,2
Alessandro Bastoni,11,2,0,2
Federico Dimarco,10,2,0,2
Valentin Carboni,1,1,0,1
Roberto Gagliardini,6,1,0,1
Marcelo Brozovic,8,1,0,1
Hakan Calhanoglu,11,1,0,1
Robin Gosens,10,1,0,1
Francesco Acerbi,11,1,0,1
Stefan de Vrij,7,1,0,1
Matteo Darmian,10,1,0,1
Andre Onana,12,1,0,1
Kristjan Asllani,5,0,0,0
Aleksandar Stankovic,0,0,0,0
Alessandro Fontanarosa,0,0,0,0
Mattia Zanotti,0,0,0,0
Raoul Bellanova,2,0,0,0
Denzel Dumfries,11,0,0,0
Milan Skriniar,8,0,0,0
Danilo D'Ambrosio,5,0,0,0
Nikolaos Botis,0,0,0,0
Samir Handanovic,0,0,0,0
Alex Cordaz,0,0,0,0
