Name,Team,matches_played,goals_scored,yellow_cards,red_cards,points
Erling Haaland,Manchester City,10,12,0.0,0.0,0.0
Bernardo Silva,Manchester City,12,3,2.0,0.0,2.0
Julián Álvarez,Manchester City,10,3,0.0,0.0,0.0
Riyad Mahrez,Manchester City,9,3,0.0,0.0,0.0
Kevin De Bruyne,Manchester City,9,2,1.0,0.0,1.0
Ilkay Gündogan,Manchester City,12,1,4.0,0.0,4.0
Rúben Dias,Manchester City,11,1,2.0,0.0,2.0
Rodri,Manchester City,11,1,1.0,0.0,1.0
Manuel Akanji,Manchester City,10,1,2.0,0.0,2.0
John Stones,Manchester City,7,1,0.0,0.0,0.0
Phil Foden,Manchester City,7,1,1.0,0.0,1.0
Rico Lewis,Manchester City,2,1,0.0,0.0,0.0
Jack Grealish,Manchester City,12,0,1.0,0.0,1.0
Ederson,Manchester City,10,0,1.0,0.0,1.0
Nathan Aké,Manchester City,7,0,1.0,0.0,1.0
Sergio Gómez,Manchester City,5,0,0.0,1.0,3.0
Aymeric Laporte,Manchester City,4,0,1.0,0.0,1.0
Kyle Walker,Manchester City,4,0,0.0,0.0,0.0
Cole Palmer,Manchester City,4,0,0.0,0.0,0.0
Kalvin Phillips,Manchester City,3,0,0.0,0.0,0.0
Stefan Ortega,Manchester City,2,0,0.0,0.0,0.0
Josh Wilson-Esbrand,Manchester City,2,0,0.0,0.0,0.0
Shea Charles,Manchester City,0,0,0.0,0.0,0.0
Alex Robertson,Manchester City,0,0,0.0,0.0,0.0
