Name,matches_played,yellow_cards,red_cards,points
Ilkay Gündogan,12,4,0,4
Sergio Gómez,5,0,1,3
Bernardo Silva,12,2,0,2
Rúben Dias,11,2,0,2
Manuel Akanji,10,2,0,2
Phil Foden,7,1,0,1
Rodri,11,1,0,1
Jack Grealish,12,1,0,1
Kevin De Bruyne,9,1,0,1
Aymeric Laporte,4,1,0,1
Nathan Aké,7,1,0,1
Ederson,10,1,0,1
Riyad Mahrez,9,0,0,0
Shea Charles,0,0,0,0
Alex Robertson,0,0,0,0
Máximo Perrone,0,0,0,0
Cole Palmer,4,0,0,0
Kalvin Phillips,3,0,0,0
Rico Lewis,2,0,0,0
John Stones,7,0,0,0
Kyle Walker,4,0,0,0
Stefan Ortega,2,0,0,0
Scott Carson,0,0,0,0
