Name,Team,matches_played,goals_scored,yellow_cards,red_cards,points,normalized_matches_played,normalized_goals_scored,normalized_yellow_cards,normalized_red_cards,normalized_points,Weighted_Score
Denzel Dumfries,Inter Milan,11,1,0.0,0.0,0.0,0.9166666666666666,0.3333333333333333,0.0,0.0,0.0,0.31666666666666665
Nicolò Barella,Inter Milan,11,3,2.0,0.0,2.0,0.9166666666666666,1.0,1.0,0.0,1.0,0.2833333333333334
Henrikh Mkhitaryan,Inter Milan,12,2,2.0,0.0,2.0,1.0,0.6666666666666666,1.0,0.0,1.0,0.16666666666666669
Hakan Calhanoglu,Inter Milan,11,1,1.0,0.0,1.0,0.9166666666666666,0.3333333333333333,0.5,0.0,0.5,0.16666666666666666
Robin Gosens,Inter Milan,10,1,1.0,0.0,1.0,0.8333333333333334,0.3333333333333333,0.5,0.0,0.5,0.15000000000000005
Milan Skriniar,Inter Milan,8,0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.13333333333333333
Danilo D'Ambrosio,Inter Milan,5,0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.08333333333333334
Kristjan Asllani,Inter Milan,5,0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.08333333333333334
Andre Onana,Inter Milan,12,0,1.0,0.0,1.0,1.0,0.0,0.5,0.0,0.5,0.05000000000000002
Francesco Acerbi,Inter Milan,11,0,1.0,0.0,1.0,0.9166666666666666,0.0,0.5,0.0,0.5,0.033333333333333354
Raoul Bellanova,Inter Milan,2,0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.03333333333333333
Matteo Darmian,Inter Milan,10,0,1.0,0.0,1.0,0.8333333333333334,0.0,0.5,0.0,0.5,0.016666666666666677
Nikolaos Botis,Inter Milan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alessandro Fontanarosa,Inter Milan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcelo Brozovic,Inter Milan,8,0,1.0,0.0,1.0,0.6666666666666666,0.0,0.5,0.0,0.5,-0.016666666666666677
Stefan de Vrij,Inter Milan,7,0,1.0,0.0,1.0,0.5833333333333334,0.0,0.5,0.0,0.5,-0.033333333333333326
Roberto Gagliardini,Inter Milan,6,0,1.0,0.0,1.0,0.5,0.0,0.5,0.0,0.5,-0.05
Alessandro Bastoni,Inter Milan,11,0,2.0,0.0,2.0,0.9166666666666666,0.0,1.0,0.0,1.0,-0.11666666666666667
Federico Dimarco,Inter Milan,10,0,2.0,0.0,2.0,0.8333333333333334,0.0,1.0,0.0,1.0,-0.13333333333333333
Valentin Carboni,Inter Milan,1,0,1.0,0.0,1.0,0.08333333333333333,0.0,0.5,0.0,0.5,-0.13333333333333336
Erling Haaland,Manchester City,10,12,0.0,0.0,0.0,0.8333333333333334,1.0,0.0,0.0,0.0,0.5666666666666667
Julián Álvarez,Manchester City,10,3,0.0,0.0,0.0,0.8333333333333334,0.25,0.0,0.0,0.0,0.2666666666666667
Riyad Mahrez,Manchester City,9,3,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.25
Bernardo Silva,Manchester City,12,3,2.0,0.0,2.0,1.0,0.25,0.5,0.0,0.5,0.15000000000000005
John Stones,Manchester City,7,1,0.0,0.0,0.0,0.5833333333333334,0.08333333333333333,0.0,0.0,0.0,0.15000000000000002
Kevin De Bruyne,Manchester City,9,2,1.0,0.0,1.0,0.75,0.16666666666666666,0.25,0.0,0.25,0.14166666666666666
Rodri,Manchester City,11,1,1.0,0.0,1.0,0.9166666666666666,0.08333333333333333,0.25,0.0,0.25,0.14166666666666666
Jack Grealish,Manchester City,12,0,1.0,0.0,1.0,1.0,0.0,0.25,0.0,0.25,0.125
Ederson,Manchester City,10,0,1.0,0.0,1.0,0.8333333333333334,0.0,0.25,0.0,0.25,0.09166666666666669
Phil Foden,Manchester City,7,1,1.0,0.0,1.0,0.5833333333333334,0.08333333333333333,0.25,0.0,0.25,0.07500000000000002
Rúben Dias,Manchester City,11,1,2.0,0.0,2.0,0.9166666666666666,0.08333333333333333,0.5,0.0,0.5,0.06666666666666668
Rico Lewis,Manchester City,2,1,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.06666666666666667
Kyle Walker,Manchester City,4,0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667
Cole Palmer,Manchester City,4,0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667
Manuel Akanji,Manchester City,10,1,2.0,0.0,2.0,0.8333333333333334,0.08333333333333333,0.5,0.0,0.5,0.05000000000000002
Kalvin Phillips,Manchester City,3,0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.05
Nathan Aké,Manchester City,7,0,1.0,0.0,1.0,0.5833333333333334,0.0,0.25,0.0,0.25,0.04166666666666667
Stefan Ortega,Manchester City,2,0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.03333333333333333
Josh Wilson-Esbrand,Manchester City,2,0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.03333333333333333
Shea Charles,Manchester City,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Robertson,Manchester City,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aymeric Laporte,Manchester City,4,0,1.0,0.0,1.0,0.3333333333333333,0.0,0.25,0.0,0.25,-0.008333333333333338
Ilkay Gündogan,Manchester City,12,1,4.0,0.0,4.0,1.0,0.08333333333333333,1.0,0.0,1.0,-0.06666666666666668
Sergio Gómez,Manchester City,5,0,0.0,1.0,3.0,0.4166666666666667,0.0,0.0,1.0,0.75,-0.16666666666666669
